Country,ISO3,Relig (%),Src,Year,Suicide(/100k),GDP (USD),Unemp (%),Soc Sup (%),Group,Pop (M)
Afghanistan,AFG,99.0,P,2019,4.5,502.0,11.2,64.0,High,38.0
Niger,NER,99.0,P,2018,3.1,554.0,0.5,63.0,High,23.3
Algeria,DZA,99.0,W,2019,3.1,3975.0,11.4,79.0,High,43.1
Mali,MLI,99.0,P,2018,4.3,909.0,8.0,71.0,High,19.7
Mauritania,MRT,99.0,P,2018,4.1,1649.0,10.5,72.0,High,4.5
Ethiopia,ETH,98.0,P,2018,5.2,936.0,2.5,74.0,High,112.1
Yemen,YEM,98.0,P,2019,3.9,591.0,14.1,69.0,High,29.8
Timor-Leste,TLS,98.0,P,2019,5.8,1377.0,4.3,79.0,High,1.3
Libya,LBY,97.0,P,2019,4.8,7685.0,19.4,76.0,High,6.8
Malawi,MWI,97.0,P,2018,6.4,411.0,5.7,74.0,High,18.6
Myanmar,MMR,97.0,P,2019,7.1,1408.0,0.8,79.0,High,54.4
Senegal,SEN,97.0,P,2018,4.8,1446.0,6.9,77.0,High,16.3
Tajikistan,TJK,96.0,W,2020,4.8,870.0,10.8,80.0,High,9.3
Ghana,GHA,96.0,P,2018,5.8,2219.0,4.5,73.0,High,30.4
Lesotho,LSO,96.0,P,2018,28.9,1081.0,22.5,70.0,High,2.1
Guinea,GIN,96.0,P,2018,4.7,900.0,5.2,68.0,High,12.8
South Sudan,SSD,96.0,P,2018,7.1,302.0,11.0,64.0,High,11.1
Bangladesh,BGD,96.0,W,2018,7.8,1856.0,4.3,75.0,High,163.0
Zambia,ZMB,96.0,P,2018,8.0,1305.0,11.5,72.0,High,17.9
Papua New Guinea,PNG,96.0,P,2019,5.8,2735.0,2.6,75.0,High,8.9
Uzbekistan,UZB,96.0,W,2022,7.9,1724.0,9.3,84.0,High,33.6
Sudan,SDN,96.0,P,2018,5.0,441.0,16.4,70.0,High,42.8
Central African Rep.,CAF,95.0,P,2018,5.8,466.0,5.6,66.0,High,4.7
Indonesia,IDN,95.0,W,2020,3.7,4136.0,4.3,88.0,High,270.6
Rwanda,RWA,95.0,P,2018,9.2,820.0,1.0,74.0,High,12.6
DR Congo,COD,94.0,P,2018,6.4,546.0,4.3,73.0,High,86.8
Pakistan,PAK,94.0,W,2018,4.1,1284.0,4.5,75.0,High,216.6
Syria,SYR,94.0,P,2019,3.3,533.0,14.6,73.0,High,17.1
Uganda,UGA,94.0,P,2018,7.0,794.0,1.8,71.0,High,44.3
Tanzania,TZA,93.0,P,2018,7.4,1066.0,2.0,73.0,High,57.3
Saudi Arabia,SAU,93.0,W,2019,3.1,23140.0,5.7,83.0,High,34.3
Sierra Leone,SLE,93.0,P,2018,5.3,514.0,4.4,68.0,High,7.8
Turkmenistan,TKM,93.0,P,2019,7.6,7668.0,3.7,79.0,High,5.9
Namibia,NAM,92.0,P,2018,12.8,4724.0,20.0,73.0,High,2.5
Zimbabwe,ZWE,92.0,P,2018,10.6,1464.0,4.9,68.0,High,14.6
Palestine,PSE,92.0,W,2018,3.1,3663.0,26.4,72.0,High,4.9
Burundi,BDI,91.0,P,2018,5.2,261.0,1.5,70.0,High,11.5
Oman,OMN,91.0,G,2019,2.8,16143.0,2.1,82.0,High,4.6
Liberia,LBR,91.0,P,2018,6.1,623.0,2.7,69.0,High,4.9
Tunisia,TUN,90.0,W,2019,4.0,3398.0,14.9,76.0,High,11.7
